pub_id,country,continent,animal,stage_life_m,lifespan_m,norm_age,bw_mean_kg,bw_sd_kg,sex,lactating,exp_id,model,study_id,treatment,potential_exposure_day,pfos_plasma_mean,pfos_plasma_sd,pfos_plasma_units,pfos_plasma_ns,pfos_liver_mean,pfos_liver_sd,pfos_liver_units,pfos_liver_ns,feed_intake_mean,feed_intake_units,water_intake_mean,water_intake_units,pfos_exposure_level_mean,pfos_exposure_level_sd,pfos_exposure_level_units
1,Germany,EU,Sheep,.,273.6,.,63,2.3,IF,Y,1,FIX,1,CLAEP,21,0.24,0.00015,ug/mL,12,1.172,.,ug/g,1,1.248,kg/d,11.36,L/d,7.6,3.2,ug/kg bw/d
1,Germany,EU,Sheep,.,273.6,.,63,2.3,IF,Y,1,FIX,1,CLAEP,21,0.168,0.00015,ug/mL,12,0.885,.,ug/g,1,1.568,kg/d,11.36,L/d,1.45,.,ug/kg/bw/d
1,Germany,EU,Sheep,.,273.6,.,63,2.3,IF,Y,1,FIX,1,CLAEP,21,0.0379,0.0311,ug/mL,12,1.172,.,ug/g,1,1.248,kg/d,11.36,L/d,1.16,.,ug/kg/bw/d
1,Germany,EU,Sheep,.,273.6,.,63,2.3,IF,Y,1,FIX,1,CLANEP,0,2.00E-04,0.00015,ug/mL,12,0.00153,.,ug/g,1,1.672,kg/d,11.36,L/d,0.000025,.,ug/kg/bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,44,2.933,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,38,2.888,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,41,2.723,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,35,2.576,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,29,2.569,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,35,2.551,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,47,2.484,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,32,2.357,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,29,2.345,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,38,2.325,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,50,2.32,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,41,2.29,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,32,2.199,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,29,2.178,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,44,2.169,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,44,1.954,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,25,1.948,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,47,1.944,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,47,1.927,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,50,1.927,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,35,1.927,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,32,1.862,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,50,1.838,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,25,1.829,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,41,1.803,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CONNE,38,1.763,.,ug/mL,1,3.964,1.035,ug/g,3,10.3,kg/d,145.75,L/d,0.000025,.,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,25,1.693,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,20,1.64,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,29,1.516,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,25,1.5,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,20,1.47,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,29,1.306,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,20,1.227,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,25,1.192,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,25,0.976,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,15,0.935,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,20,0.915,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,15,0.864,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,20,0.704,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,15,0.61,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,15,0.579,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,10,0.47,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,15,0.448,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,10,0.414,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,10,0.383,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,7,0.315,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,10,0.28,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,7,0.269,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,10,0.264,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,7,0.195,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,7,0.176,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,10,0.171,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,29,0.15,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,4,0.145,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,7,0.129,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,4,0.106,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,4,0.102,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,20,0.096,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,4,0.089,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,4,0.081,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,4,0.067,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,7,0.03,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,1,0.0034,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,0.5,7.00E-04,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,0.5,7.00E-04,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,0.5,6.00E-04,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,0.5,6.00E-04,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,0.5,5.00E-04,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,1,5.00E-04,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,0.5,5.00E-04,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,1,5.00E-04,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,1,4.00E-04,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,1,4.00E-04,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
2,Germany,EU,Cattle,.,240,.,583,31,IF,Y,1,FIX,2,CLAEP,1,3.00E-04,.,ug/mL,1,2.952,0.718,ug/g,3,10.3,kg/d,145.75,L/d,7.6,3.2,ug/kg bw/d
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,52.597,3.39,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,47.968,1.47,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,46.278,9.01,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,36.256,3.47,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,35.24,5.24,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,34.977,4.81,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,34.095,8.59,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,28.582,6.07,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,28.208,7.96,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,26.675,5.62,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,24.955,4.27,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,21.655,3.23,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,21.643,5.21,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,13.239,3.47,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,8.816,2.96,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,5.4,1.45,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,1.612,0.55,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,0.388,0.14,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
3,USA,NAM,Cattle,.,240,.,329,36,CM,N,1,FIX,3,CLAEP,1,0.016,0.008,ug/mL,3,17.9,2.3,ug/g,3,9.87,kg/d,42.77,L/d,8000,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,79.18,.,ug/mL,1,8.76,3.54,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,77.47,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,72.51,.,ug/mL,1,8.76,3.54,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,71.37,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,71.09,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,68.87,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,64.55,.,ug/mL,1,8.76,3.54,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,63.51,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,56.77,.,ug/mL,1,8.76,3.54,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,56.66,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
4,USA,NAM,Cattle,.,240,.,308.1,29.9,IF,N,1,FIX,4,CLAEP,1,56.01,.,ug/mL,1,4.74,0.56,ug/g,2,9.243,kg/d,40.05,L/d,9090,.,ug/kg bw
